PRODUTO_DESCRICAO,PRECO_PESQUISADO,ESTABELECIMENTO_REDE
FORMULA INFANTIL - 1 SEMESTRE APTAMIL 1,28.9,AGRICER
FORMULA INFANTIL 2 SEMESTRE APTAMIL 2,24.89,CONDOR
CHOCOTTONE AVELA/TRUFA/MOUSE `BAUDUCO`,24.89,CONDOR
Carne Bov. Picanha,23.98,AGRICER
"PANETONE C/FRUTAS ""PANCO""",21.98,AGRICER
Carne Bov. S/Osso File Mignon,21.98,AGRICER
FORMULA INFANTIL 2 SEMESTRE NESTOGENO 2,19.98,AGRICER
FORMULA INFANTIL 1 SEMESTRE NESTOGENO 1,19.9,AGRICER
"CHOCOTTONE MAXI ""BAUDUCCO""",19.9,AGRICER
CARNE BOV. S/OSSO ALCATRA COM MAMINHA,18.79,AGRICER
Carne Bov. S/Osso Alcatra   ( Pedaço ),18.79,AGRICER
Carne Bov. S/ Osso Contra File,17.9,AGRICER
Queijo Prato -  Peca   ( + Barato ),17.39,AGRICER
Carne Bov. S/Osso Coxao Mole ( Pedaço ),16.9,AGRICER
Carne Bov. S/Osso Patinho  ( Pedaço ),16.75,AGRICER
"PANETONE C/GOTAS DE CHOCOLATE ""PANCO""",16.75,AGRICER
Carne Bov. S/Osso Posta Branca  (Pedaço),16.45,AGRICER
"PANETONE BRIGADEIRO ""PANCO""",16.45,AGRICER
Carne Bov. S/Osso Posta Vermelha Pedaço,15.97,AGRICER
"PANETONE TRUFADO ""PANCO""",15.97,AGRICER
"Arroz Branco Tipo 1  ""Prato Fino""",15.9,AGRICER
PAPEL HIG. FOLHA DUPLA PICOTADA +BARATO,15.25,AGRICER
"Arroz Parboilizado Tipo 1  ""Prato Fino""",14.98,AGRICER
CARNE BOV. S/OSSO  FRALDINHA,14.95,AGRICER
Queijo Mussarela  -  Peca  ( + Barato ),14.5,AGRICER
"Arroz Parboilizado Tipo 1  ""Tio Joao""",13.98,AGRICER
CORACAO DE GALINHA        ( RESFRIADO ),13.9,AGRICER
Carne Bov. Moida  de 1a  ( + Barato ),13.9,AGRICER
"PANETTONE CHOCOLATE ZERO ""LOWCUCAR""",13.9,AGRICER
PAPEL HIG. FOLHA DUPLA PICOTADA,12.99,AGRICER
"PANETONE C/FRUTAS ZERO ""SANTA EDWIGES""",12.98,AGRICER
CHARQUE DIANTEIRO BOVINO + BARATO,12.98,AGRICER
Presunto Fatiado        (+ Barato ),12.9,AGRICER
"Bacon Suino ""Alto Vacuo""",12.9,AGRICER
"PANETONE BRIG/TRUF/DLEITE""SANTA EDWIGES""",12.9,AGRICER
Carne Bov. C/Osso Contra File,12.9,AGRICER
AZEITE OLIVA EXTRA VIRGEM (+ BARATO) 0.5,12.25,AGRICER
"Arroz Branco Tipo 1  ""Buriti""",12.23,AGRICER
"Arroz Branco Tipo 1  ""Tio Urbano""",11.99,AGRICER
"Cera em Pasta ""Canario """,11.8,AGRICER
ARROZ PARBOILIZADO TIPO 1   DALFOVO,11.79,AGRICER
"Geleia de Frutas ""Ritter""",11.5,AGRICER
"Geleia de Frutas Diet ""Ritter""",10.9,AGRICER
"Arroz Branco Tipo 1  ""Tio Joao""",10.8,AGRICER
"Arroz Parboilizado Tipo 1  ""Urbano""",10.68,AGRICER
"Geleia de Frutas ""Vega""",10.25,AGRICER
Linguica Calabresa (+ barato),9.99,AGRICER
"PANETONE ""TOMMY"" c/ FRUTAS",9.99,AGRICER
"PANETTONE S/GLUTEN ""JASMINE""",9.98,AGRICER
"Arroz Parboilizado Tipo 1  ""Buriti""",9.98,AGRICER
Apresuntado  Fatiado  ( + Barato ),9.98,AGRICER
"Acucar Refinado ""Uniao""",9.98,AGRICER
"Carne Bov. Costela ""Ripa""",9.95,AGRICER
"Carne Bov. Costela ""Ponta""",9.95,AGRICER
Carne Bov. C/ Osso Musculo,9.9,AGRICER
"Amaciante de Roupa ""Confort""",9.9,AGRICER
Uva Italia,9.9,AGRICER
"Leite em Po ""Ninho"" Instant.Tradicional",9.89,AGRICER
"PANETONE ""TOMMY"" c/ GOTAS de CHOCOLATE",8.98,AGRICER
"Linguica Toscana  ""Frimesa/Batavo""",8.98,AGRICER
"Detergente em Po ""Omo"" Multi-Acao",8.95,AGRICER
"PANETTONE C/ FRUTAS ""PARATI""",8.9,AGRICER
Linguica Toscana  ( + Barato ),8.9,AGRICER
Arroz Branco Tipo 1   ( + Barato ),8.78,AGRICER
Arroz Parboilizado Tipo 1  ( + Barato ),8.49,AGRICER
"Cafe  Vacuo ""Melita""",8.27,AGRICER
"PANETTONE ALPINO CREMOSO ""NESTLE""",8.27,AGRICER
"Cera Liquida ""Poliflor""",8.09,AGRICER
"PANETTONE C/FRUTAS ZERO ""LOWCUCAR""",7.99,AGRICER
